Accession,Release_Date,Species,Genus,Family,Length,Genotype,Genome_Region,Segment,Authors,Publications,Protein,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
YP_009725255,2020-01-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,ORF10 protein,China,Homo sapiens,,2019-12,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
YP_009724389,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,orf1ab polyprotein,China,Homo sapiens,,2019-12,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
YP_009724390,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,surface glycoprotein,China,Homo sapiens,,2019-12,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
YP_009724391,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,ORF3a protein,China,Homo sapiens,,2019-12,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
YP_009724392,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,envelope protein,China,Homo sapiens,,2019-12,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
YP_009724393,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,membrane glycoprotein,China,Homo sapiens,,2019-12,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
YP_009724394,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,ORF6 protein,China,Homo sapiens,,2019-12,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
YP_009724395,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,ORF7a protein,China,Homo sapiens,,2019-12,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
YP_009724396,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,ORF8 protein,China,Homo sapiens,,2019-12,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
YP_009724397,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,"Wu,F., Zhao,S., Yu,B., Chen,Y.-M., Wang,W., Hu,Y., Song,Z.-G., Tao,Z.-W., Tian,J.-H., Pei,Y.-Y., Yuan,M.L., Zhang,Y.-L., Dai,F.-H., Liu,Y., Wang,Q.-M., Zheng,J.-J., Xu,L., Holmes,E.C., Zhang,Y.-Z.",,nucleocapsid phosphoprotein,China,Homo sapiens,,2019-12,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47456,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,orf1ab polyprotein,Spain,Homo sapiens,oronasopharynx,2020-03-04,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47457,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,surface glycoprotein,Spain,Homo sapiens,oronasopharynx,2020-03-04,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47458,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,ORF3a protein,Spain,Homo sapiens,oronasopharynx,2020-03-04,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QIM47459,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,envelope protein,Spain,Homo sapiens,oronasopharynx,2020-03-04,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIM47460,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,membrane glycoprotein,Spain,Homo sapiens,oronasopharynx,2020-03-04,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47461,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,ORF6 protein,Spain,Homo sapiens,oronasopharynx,2020-03-04,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QIM47462,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,ORF7a protein,Spain,Homo sapiens,oronasopharynx,2020-03-04,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QIM47463,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,ORF8 protein,Spain,Homo sapiens,oronasopharynx,2020-03-04,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QIM47464,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,nucleocapsid phosphoprotein,Spain,Homo sapiens,oronasopharynx,2020-03-04,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47465,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,36,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,ORF10 protein,Spain,Homo sapiens,oronasopharynx,2020-03-04,,"ORF10 protein, partial [Severe acute respiratory syndrome coronavirus 2]"
QIM47466,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,orf1ab polyprotein,Spain,Homo sapiens,lung,2020-03-05,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47467,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,surface glycoprotein,Spain,Homo sapiens,lung,2020-03-05,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47468,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,ORF3a protein,Spain,Homo sapiens,lung,2020-03-05,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QIM47469,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,envelope protein,Spain,Homo sapiens,lung,2020-03-05,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIM47470,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,membrane glycoprotein,Spain,Homo sapiens,lung,2020-03-05,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47471,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,ORF6 protein,Spain,Homo sapiens,lung,2020-03-05,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QIM47472,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,ORF7a protein,Spain,Homo sapiens,lung,2020-03-05,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QIM47473,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,ORF8 protein,Spain,Homo sapiens,lung,2020-03-05,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QIM47474,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,361,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,nucleocapsid phosphoprotein,Spain,Homo sapiens,lung,2020-03-05,,"nucleocapsid phosphoprotein, partial [Severe acute respiratory syndrome coronavirus 2]"
QIM47475,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,orf1ab polyprotein,Spain,Homo sapiens,oronasopharynx,2020-03-08,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47476,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,surface glycoprotein,Spain,Homo sapiens,oronasopharynx,2020-03-08,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47477,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,ORF3a protein,Spain,Homo sapiens,oronasopharynx,2020-03-08,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QIM47478,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,envelope protein,Spain,Homo sapiens,oronasopharynx,2020-03-08,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIM47479,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,membrane glycoprotein,Spain,Homo sapiens,oronasopharynx,2020-03-08,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47480,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,ORF6 protein,Spain,Homo sapiens,oronasopharynx,2020-03-08,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QIM47481,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,ORF7a protein,Spain,Homo sapiens,oronasopharynx,2020-03-08,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QIM47482,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,ORF8 protein,Spain,Homo sapiens,oronasopharynx,2020-03-08,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QIM47483,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,nucleocapsid phosphoprotein,Spain,Homo sapiens,oronasopharynx,2020-03-08,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QIM47484,2020-03-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,36,,,,"Bracho,M.A., D'Auria,G., Navarro,D., de Marco,G., Garcia-Gonzalez,N., Beamud,B., Gonzalez-Candelas,F.",,ORF10 protein,Spain,Homo sapiens,oronasopharynx,2020-03-08,,"ORF10 protein, partial [Severe acute respiratory syndrome coronavirus 2]"
QIK50437,2020-03-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,,,,"Cao,T.M., Nguyen,H.T., Pham,H.T.T., Vu,N.P.H., Dao,M.H., Huynh,L.T.K., Nguyen,L.T., Nguyen,N.T., Nguyen,T.T.N., Nguyen,A.H., Luong,Q.C., Nguyen,T.V., Tran,K.C., Pham,Q.D., Tran,T., Hoang,C.Q., Nguyen,T.T., Le,H.Q., Phung,T.M., Vo,T.N.A., Nguyen,S.N., Pham,D.T., Phan,L.T.",,orf1ab polyprotein,Viet Nam,Homo sapiens,,2020-01-22,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIK50438,2020-03-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,,,,"Cao,T.M., Nguyen,H.T., Pham,H.T.T., Vu,N.P.H., Dao,M.H., Huynh,L.T.K., Nguyen,L.T., Nguyen,N.T., Nguyen,T.T.N., Nguyen,A.H., Luong,Q.C., Nguyen,T.V., Tran,K.C., Pham,Q.D., Tran,T., Hoang,C.Q., Nguyen,T.T., Le,H.Q., Phung,T.M., Vo,T.N.A., Nguyen,S.N., Pham,D.T., Phan,L.T.",,surface glycoprotein,Viet Nam,Homo sapiens,,2020-01-22,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIK50439,2020-03-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,,,,"Cao,T.M., Nguyen,H.T., Pham,H.T.T., Vu,N.P.H., Dao,M.H., Huynh,L.T.K., Nguyen,L.T., Nguyen,N.T., Nguyen,T.T.N., Nguyen,A.H., Luong,Q.C., Nguyen,T.V., Tran,K.C., Pham,Q.D., Tran,T., Hoang,C.Q., Nguyen,T.T., Le,H.Q., Phung,T.M., Vo,T.N.A., Nguyen,S.N., Pham,D.T., Phan,L.T.",,ORF3a protein,Viet Nam,Homo sapiens,,2020-01-22,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QIK50440,2020-03-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,,,,"Cao,T.M., Nguyen,H.T., Pham,H.T.T., Vu,N.P.H., Dao,M.H., Huynh,L.T.K., Nguyen,L.T., Nguyen,N.T., Nguyen,T.T.N., Nguyen,A.H., Luong,Q.C., Nguyen,T.V., Tran,K.C., Pham,Q.D., Tran,T., Hoang,C.Q., Nguyen,T.T., Le,H.Q., Phung,T.M., Vo,T.N.A., Nguyen,S.N., Pham,D.T., Phan,L.T.",,envelope protein,Viet Nam,Homo sapiens,,2020-01-22,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIK50441,2020-03-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,,,,"Cao,T.M., Nguyen,H.T., Pham,H.T.T., Vu,N.P.H., Dao,M.H., Huynh,L.T.K., Nguyen,L.T., Nguyen,N.T., Nguyen,T.T.N., Nguyen,A.H., Luong,Q.C., Nguyen,T.V., Tran,K.C., Pham,Q.D., Tran,T., Hoang,C.Q., Nguyen,T.T., Le,H.Q., Phung,T.M., Vo,T.N.A., Nguyen,S.N., Pham,D.T., Phan,L.T.",,membrane glycoprotein,Viet Nam,Homo sapiens,,2020-01-22,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIK50442,2020-03-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,,,,"Cao,T.M., Nguyen,H.T., Pham,H.T.T., Vu,N.P.H., Dao,M.H., Huynh,L.T.K., Nguyen,L.T., Nguyen,N.T., Nguyen,T.T.N., Nguyen,A.H., Luong,Q.C., Nguyen,T.V., Tran,K.C., Pham,Q.D., Tran,T., Hoang,C.Q., Nguyen,T.T., Le,H.Q., Phung,T.M., Vo,T.N.A., Nguyen,S.N., Pham,D.T., Phan,L.T.",,ORF6 protein,Viet Nam,Homo sapiens,,2020-01-22,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
